taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
5845399	Motacilla flava cinereocapilla Savi, 1831	5845399	Motacilla flava cinereocapilla Savi, 1831	3	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Motacillidae	5257	Motacilla	2490295	Motacilla flava	9701857	
7060577	Loxia curvirostra curvirostra	7060577	Loxia curvirostra curvirostra	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Loxia	2494150	Loxia curvirostra	9629160	
2433753	Lutra lutra (Linnaeus, 1758)	2433753	Lutra lutra (Linnaeus, 1758)	1202	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Mustelidae	5307	Lutra	8226627	Lutra lutra	2433753	NT
2487603	Certhia familiaris Linnaeus, 1758	2487603	Certhia familiaris Linnaeus, 1758	4593	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Certhiidae	5227	Certhia	2487601	Certhia familiaris	2487603	LC
2495688	Streptopelia roseogrisea (Sundevall, 1857)	2495688	Streptopelia roseogrisea (Sundevall, 1857)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Streptopelia	2495657	Streptopelia roseogrisea	2495688	LC
5219173	Canis lupus Linnaeus, 1758	5219173	Canis lupus Linnaeus, 1758	6108	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Canis	5219142	Canis lupus	5219173	LC
8996942	Cygnus Garsault, 1764	8996942	Cygnus Garsault, 1764	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Cygnus	8996942			NE
131	Amphibia	131	Amphibia	6	CLASS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131									NE
2360842	Rhodeus amarus (Bloch, 1782)	2360842	Rhodeus amarus (Bloch, 1782)	252	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Cypriniformes	1153	Cyprinidae	7336	Rhodeus	2360802	Rhodeus amarus	2360842	LC
2480524	Buteo lagopus (Pontoppidan, 1763)	2480524	Buteo lagopus (Pontoppidan, 1763)	53	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Buteo	2480517	Buteo lagopus	2480524	LC
2493063	Phylloscopus schwarzi (Radde, 1863)	2493063	Phylloscopus schwarzi (Radde, 1863)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Phylloscopidae	6100963	Phylloscopus	2493047	Phylloscopus schwarzi	2493063	LC
2493091	Phylloscopus collybita (Vieillot, 1817)	2493091	Phylloscopus collybita (Vieillot, 1817)	22979	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Phylloscopidae	6100963	Phylloscopus	2493047	Phylloscopus collybita	2493091	LC
2498411	Amazonetta brasiliensis (J.F.Gmelin, 1789)	2498411	Amazonetta brasiliensis (J.F.Gmelin, 1789)	9	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Amazonetta	2498410	Amazonetta brasiliensis	2498411	LC
2437489	Sciurus Linnaeus, 1758	2437489	Sciurus Linnaeus, 1758	2	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489			NE
2498305	Oxyura jamaicensis (J.F.Gmelin, 1789)	2498305	Oxyura jamaicensis (J.F.Gmelin, 1789)	66	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Oxyura	2498299	Oxyura jamaicensis	2498305	LC
7060344	Otus scops scops	7060344	Otus scops scops	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Otus	2497654	Otus scops	2497701	
9629160	Loxia curvirostra Linnaeus, 1758	9629160	Loxia curvirostra Linnaeus, 1758	4819	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Fringillidae	5242	Loxia	2494150	Loxia curvirostra	9629160	LC
1108	Anseriformes	1108	Anseriformes	3	ORDER	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108							NE
2475001	Turnix sylvaticus (Desfontaines, 1789)	2475001	Turnix sylvaticus (Desfontaines, 1789)	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Turnicidae	9357	Turnix	2474964	Turnix sylvaticus	2475001	LC
2455614	Pantherophis Fitzinger, 1843	2455614	Pantherophis Fitzinger, 1843	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Colubridae	6172	Pantherophis	2455614			NE
2479329	Platycercus eximius (Shaw, 1792)	2479329	Platycercus eximius (Shaw, 1792)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Platycercus	9623552	Platycercus eximius	2479329	LC
2480384	Gyps rueppellii (A.E.Brehm, 1852)	2480384	Gyps rueppellii (A.E.Brehm, 1852)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Accipitriformes	7191147	Accipitridae	2877	Gyps	2480382	Gyps rueppellii	2480384	CR
2488999	Gracula religiosa Linnaeus, 1758	2488999	Gracula religiosa Linnaeus, 1758	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Sturnidae	9350	Gracula	2488998	Gracula religiosa	2488999	LC
2495000	Aegithalos caudatus (Linnaeus, 1758)	2495000	Aegithalos caudatus (Linnaeus, 1758)	11582	SPECIES	DOUBTFUL	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Aegithalidae	2878	Aegithalos	9270076	Aegithalos caudatus	2495000	LC
5216775	Bufo calamita Laurenti, 1768	2422507	Epidalea calamita (Laurenti, 1768)	5	SPECIES	SYNONYM	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Bufonidae	6727	Epidalea	2422506	Epidalea calamita	2422507	LC
2427598	Hyla intermedia Boulenger, 1882	2427598	Hyla intermedia Boulenger, 1882	732	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Hylidae	6735	Hyla	2423589	Hyla intermedia	2427598	LC
2480281	Charadrius morinellus Linnaeus, 1758	2480281	Charadrius morinellus Linnaeus, 1758	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Charadriidae	2480210	Charadrius	2480277	Charadrius morinellus	2480281	NE
