OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
658	9HF2	Haslibach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	H	F	9	NA	Plate_2	C_6	0.11280824074585337
331	3CK30	Coruz	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-07T00:00:00Z	C	K	3	NA	Plate_2	C_7	0.05674700256364357
2883	2TK5	Talent	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-06T00:00:00Z	T	K	2	NA	Plate_2	C_8	0.49426467791838186
66	4HKcontrol	Haslibach	Kärcher	NA	field_control	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	C_9	0.011315112293657024
141	3CC30	Coruz	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-07T00:00:00Z	C	C	3	NA	Plate_1	C_1	0.02417319444554001
1183	3CC5	Coruz	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-07T00:00:00Z	C	C	3	NA	Plate_1	C_2	0.20281481580903424
246	1DE30	Duebendorf	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-05T00:00:00Z	D	E	1	NA	Plate_1	C_3	0.04217450945817618
155	1DE5	Duebendorf	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-05T00:00:00Z	D	E	1	NA	Plate_1	C_4	0.026573369780558166
78	8RE5	Riedgraben	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-12T00:00:00Z	R	E	8	NA	Plate_1	C_5	0.013372405437958302
66	6GB30	Gaebelbach	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-10T00:00:00Z	G	B	6	NA	Plate_1	C_6	0.011315112293657024
65	5LB5	Leugene	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-09T00:00:00Z	L	B	5	NA	Plate_1	C_7	0.011143671198298585
125	9TM2	Talent	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	T	M	9	NA	Plate_1	C_8	0.02143013691980497
456	9M2control2	NA	MWAC	NA	field_control	NA	NA	NA	2022-07-31T00:00:00Z	B	2	9	NA	Plate_1	C_9	0.07817713948344854
84	3CD4	Coruz	Drone	10 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	C_10	0.01440105201010894
59	3CS30	Coruz	Sass	30 min	active	BeadRupt_7ml	SASS_filter	3	2022-07-07T00:00:00Z	C	S	3	NA	Plate_2	C_1	0.010115024626147946
298	2TS5	Talent	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-06T00:00:00Z	T	S	2	NA	Plate_2	C_2	0.05108944641681505
37	4HScontrol	Haslibach	Sass	NA	field_control	BeadRupt_7ml	SASS_filter	3	2022-07-08T00:00:00Z	H	S	4	NA	Plate_2	C_3	0.006343320528262272
67	7WH30	Weierbach	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-11T00:00:00Z	W	H	7	NA	Plate_2	C_4	0.011486553389015464
160	7WH5	Weierbach	Hepa	5 hours	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-11T00:00:00Z	W	H	7	NA	Plate_2	C_5	0.027430575257350362
573	9HF2	Haslibach	WSL_Filter	2 weeks	passive	BeadRupt_7ml	Glass_Fiber_90mm	3	2022-07-31T00:00:00Z	H	F	9	NA	Plate_2	C_6	0.09823574764038599
322	3CK30	Coruz	Kärcher	30 min	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-07T00:00:00Z	C	K	3	NA	Plate_2	C_7	0.055204032705417606
2885	2TK5	Talent	Kärcher	5 hours	active	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-06T00:00:00Z	T	K	2	NA	Plate_2	C_8	0.49460756010909873
52	4HKcontrol	Haslibach	Kärcher	NA	field_control	Sterivex_in_Falcon	Sterivex_0.2	2	2022-07-08T00:00:00Z	H	K	4	NA	Plate_2	C_9	0.008914936958638868
202	4HC30	Haslibach	Coriolis	30 min	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	D_1	0.03463110126240483
1041	4HC5	Haslibach	Coriolis	5 hours	active	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-08T00:00:00Z	H	C	4	NA	Plate_1	D_2	0.1784701802681358
188	2TE30	Talent	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-06T00:00:00Z	T	E	2	NA	Plate_1	D_3	0.032230925927386675
70	BLANK1	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	D_4	0.012000876675090784
111	4HEcontrol	Haslibach	Electrostatic	NA	field_control	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	D_5	0.019029961584786814
64	BLANK2	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_1	D_6	0.010972230102940145
66	6GB5	Gaebelbach	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-10T00:00:00Z	G	B	6	NA	Plate_1	D_7	0.011315112293657024
