OD	Sample_names	Sites	Sampler	duration	Type	Tube	Material	Buffer_vol	Dates	Site_Code	Sampler_Code	Date_Code	Comment	Plate	well	DNAC
102	4HE30	Haslibach	Electrostatic	30 min	active	BeadRupt_2ml	Swab	2	2022-07-08T00:00:00Z	H	E	4	NA	Plate_1	F_3	0.017486991726560857
141	3CE5	Coruz	Electrostatic	5 hours	active	BeadRupt_2ml	Swab	2	2022-07-07T00:00:00Z	C	E	3	NA	Plate_1	F_4	0.02417319444554001
65	1DB30	Duebendorf	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-05T00:00:00Z	D	B	1	NA	Plate_1	F_5	0.011143671198298585
59	8RB30	Riedgraben	Burkhart	30 min	active	Eppi_1.5	none	1.5	2022-07-12T00:00:00Z	R	B	8	NA	Plate_1	F_6	0.010115024626147946
80	8RB5	Riedgraben	Burkhart	5 hours	active	Eppi_1.5	none	1.5	2022-07-12T00:00:00Z	R	B	8	NA	Plate_1	F_7	0.013715287628675181
274	9LM2	Leugene	MWAC	2 weeks	passive	BeadRupt_2ml	PC_filter_0.2_25mm	2	2022-07-31T00:00:00Z	L	M	9	NA	Plate_1	F_8	0.046974860128212496
134	4HD30	Haslibach	Drone	30 min	active	BeadRupt_2ml	Swab_and_grease	2	2022-07-08T00:00:00Z	H	D	4	NA	Plate_1	F_9	0.022973106778030928
35	3CDcontrol	Coruz	Drone	NA	field_control	BeadRupt_2ml	Swab_and_grease	2	2022-07-07T00:00:00Z	C	D	3	NA	Plate_1	F_10	0.006000438337545392
36	BLANK5	NA	Extraction Blanks	NA	field_control	NA	NA	NA	NA	NA	NA	NA	NA	Plate_2	F_1	0.006171879432903832
257	5LS5	Leugene	Sass	5 hours	active	BeadRupt_7ml	SASS_filter	3	2022-07-09T00:00:00Z	L	S	5	NA	Plate_2	F_2	0.04406036150711902
80	2TH30	Talent	Hepa	30 min	active	BeadRupt_7ml	Hepa_filter_90mm	3	2022-07-06T00:00:00Z	T	H	2	NA	Plate_2	F_3	0.013715287628675181
