seq	devision	phylum	class	order	family	genus
seq_00001	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	Streptophyta
seq_00002	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium
seq_00003	Bacteria	Bacillota	Bacilli	Caryophanales	Listeriaceae	Listeria
seq_00004	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00005	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
seq_00006	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00013	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
seq_00014	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
seq_00015	NA	NA	NA	NA	NA	NA
seq_00017	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
seq_00019	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium
seq_00020	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00021	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microterricola
seq_00022	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea
seq_00023	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00024	NA	NA	NA	NA	NA	NA
seq_00025	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter
seq_00026	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Aquabacterium
seq_00027	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum
seq_00029	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA
seq_00032	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
seq_00033	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00034	NA	NA	NA	NA	NA	NA
seq_00036	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00037	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter
seq_00038	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
seq_00039	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
seq_00041	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Tepidimonas
seq_00045	NA	NA	NA	NA	NA	NA
seq_00052	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus
seq_00056	NA	NA	NA	NA	NA	NA
seq_00060	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Cystobacter
seq_00062	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium
seq_00063	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Clavibacter
seq_00064	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Rhodococcus
seq_00065	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas
seq_00066	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium
seq_00073	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	NA
seq_00074	NA	NA	NA	NA	NA	NA
seq_00075	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lichenibacteriaceae	Lichenibacterium
seq_00076	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
seq_00082	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter
seq_00083	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Paeniglutamicibacter
seq_00084	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella
seq_00086	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas
seq_00087	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00089	NA	NA	NA	NA	NA	NA
seq_00092	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella
seq_00096	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium
seq_00101	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Beutenbergiaceae	Serinibacter
seq_00102	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
seq_00107	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Roseateles
seq_00110	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00113	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00114	Bacteria	Bacillota	Bacilli	Caryophanales	Staphylococcaceae	Staphylococcus
seq_00115	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
seq_00116	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00117	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Spirosoma
seq_00118	Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_incertae_sedis	Candidatus_Saccharibacteria_incertae_sedis	Candidatus_Saccharibacteria_incertae_sedis	Saccharibacteria_genera_incertae_sedis
seq_00119	NA	NA	NA	NA	NA	NA
seq_00120	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA
seq_00121	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
seq_00123	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	NA
seq_00125	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Novosphingobium
seq_00127	NA	NA	NA	NA	NA	NA
seq_00128	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora
seq_00130	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus
seq_00131	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus
seq_00132	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	NA
seq_00133	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00134	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00136	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
seq_00137	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00140	Bacteria	Pseudomonadota	Gammaproteobacteria	NA	NA	NA
seq_00141	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter
seq_00143	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
seq_00144	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	NA
seq_00145	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
seq_00148	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus
seq_00150	Bacteria	Actinomycetota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
seq_00152	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Lichenicola
seq_00153	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Luteibacter
seq_00155	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia
seq_00157	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Arenivirga
seq_00158	Bacteria	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera
seq_00160	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium
seq_00161	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Undibacterium
seq_00162	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
seq_00165	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Dyadobacter
seq_00171	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00173	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter
seq_00175	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma
seq_00178	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00180	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_00181	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00183	NA	NA	NA	NA	NA	NA
seq_00184	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia
seq_00185	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00188	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
seq_00189	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Jonesiaceae	Sanguibacter
seq_00193	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Agrococcus
seq_00195	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00197	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_00198	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylorubrum
seq_00202	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	Bacillariophyta
seq_00203	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Amnibacterium
seq_00204	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00205	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia
seq_00207	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_00208	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00210	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00211	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Bacillus
seq_00215	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter
seq_00216	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00217	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_00218	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
seq_00220	Bacteria	Bacillota	Bacilli	Lactobacillales	NA	NA
seq_00222	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillales_Incertae_Sedis	NA
seq_00228	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_00230	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium
seq_00232	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_00233	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Daeguia
seq_00234	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA
seq_00237	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
seq_00238	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae_1	Clostridium_sensu
seq_00240	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Dietziaceae	Dietzia
seq_00247	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium
seq_00248	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00250	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cedecea
seq_00251	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00252	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pseudorhodoferax
seq_00254	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00255	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_00256	NA	NA	NA	NA	NA	NA
seq_00258	Bacteria	Verrucomicrobiota	Spartobacteria	Spartobacteria_incertae_sedis	Spartobacteria_incertae_sedis	Spartobacteria_genera_incertae_sedis
seq_00261	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00264	Bacteria	NA	NA	NA	NA	NA
seq_00268	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
seq_00273	Bacteria	Bacillota	Bacilli	Caryophanales	NA	NA
seq_00276	Bacteria	Acidobacteriota	Acidobacteria_Gp16	Acidobacteria_Gp16_incertae_sedis	Acidobacteria_Gp16_incertae_sedis	Gp16
seq_00278	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA
seq_00280	Bacteria	Actinomycetota	Actinobacteria	Jatrophihabitantales	Jatrophihabitantaceae	Jatrophihabitans
seq_00281	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Xenophilus
seq_00283	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00286	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax
seq_00287	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter
seq_00290	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	NA	NA
seq_00291	Bacteria	Cyanobacteriota	Cyanophyceae	NA	NA	NA
seq_00292	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_00298	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
seq_00303	Bacteria	Actinomycetota	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella
seq_00304	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
seq_00305	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_00308	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_00312	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Gordoniaceae	Williamsia
seq_00313	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00314	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium
seq_00318	NA	NA	NA	NA	NA	NA
seq_00320	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	NA
seq_00324	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas
seq_00330	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	NA
seq_00334	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella
seq_00336	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00339	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter
seq_00342	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella
seq_00343	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	NA
seq_00347	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Paracoccus
seq_00348	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	NA
seq_00349	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Terrabacter
seq_00352	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
seq_00354	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermacoccaceae	NA
seq_00358	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Hyphomicrobium
seq_00360	NA	NA	NA	NA	NA	NA
seq_00361	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
seq_00367	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
seq_00372	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00374	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	NA
seq_00378	Bacteria	Bacillota	Bacilli	Caryophanales	NA	NA
seq_00381	Bacteria	NA	NA	NA	NA	NA
seq_00382	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Dermabacteraceae	Brachybacterium
seq_00386	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00389	NA	NA	NA	NA	NA	NA
seq_00391	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium
seq_00392	Bacteria	NA	NA	NA	NA	NA
seq_00394	Bacteria	Actinomycetota	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus
seq_00397	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella
seq_00398	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella
seq_00399	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea
seq_00401	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
seq_00407	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dryocola
seq_00408	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Caldimonas
seq_00409	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_00412	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
seq_00416	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter
seq_00417	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
seq_00420	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera
seq_00421	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00426	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas
seq_00427	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00430	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium
seq_00434	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	NA
seq_00444	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00453	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
seq_00454	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
seq_00458	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00459	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_00460	Bacteria	Verrucomicrobiota	Subdivision3	Subdivision3_incertae_sedis	Subdivision3_incertae_sedis	Subdivision3_genera_incertae_sedis
seq_00461	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	NA
seq_00464	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	NA
seq_00466	Bacteria	Acidobacteriota	Acidobacteria_Gp6	Acidobacteria_Gp6_incertae_sedis	Acidobacteria_Gp6_incertae_sedis	Gp6
seq_00467	Bacteria	Cyanobacteriota	NA	NA	NA	NA
seq_00470	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Tsuneonella
seq_00473	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA
seq_00474	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Gammaproteobacteria_incertae_sedis	Acidibacter
seq_00478	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	NA	NA
seq_00479	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00481	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Paenarthrobacter
seq_00482	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Microvirga
seq_00485	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_00487	NA	NA	NA	NA	NA	NA
seq_00494	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_00496	NA	NA	NA	NA	NA	NA
seq_00500	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	NA
seq_00503	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Qipengyuania
seq_00504	Bacteria	NA	NA	NA	NA	NA
seq_00505	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	NA
seq_00509	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00510	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	NA
seq_00513	NA	NA	NA	NA	NA	NA
seq_00519	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Rubellimicrobium
seq_00523	Bacteria	Bacillota	Bacilli	Lactobacillales	Leuconostocaceae	Weissella
seq_00528	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium
seq_00530	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	NA
seq_00532	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	NA
seq_00539	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	NA
seq_00541	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00542	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Priestia
seq_00544	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella
seq_00546	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA
seq_00551	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA
seq_00556	Bacteria	Bacillota	Bacilli	Caryophanales	Bacillaceae	Fictibacillus
seq_00558	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Azospirillum
seq_00559	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
seq_00560	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter
seq_00561	Bacteria	Actinomycetota	Actinobacteria	NA	NA	NA
seq_00564	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_00565	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA
seq_00568	Bacteria	NA	NA	NA	NA	NA
seq_00572	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00573	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_00574	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Sulfurimonas
seq_00575	Bacteria	Bacillota	Bacilli	Caryophanales	Thermoactinomycetaceae	Planifilum
seq_00578	Bacteria	Pseudomonadota	NA	NA	NA	NA
seq_00580	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Geminicoccaceae	Arboricoccus
seq_00581	Bacteria	Pseudomonadota	Betaproteobacteria	NA	NA	NA
seq_00583	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	NA
seq_00584	NA	NA	NA	NA	NA	NA
seq_00587	NA	NA	NA	NA	NA	NA
seq_00588	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA
seq_00589	Bacteria	Cyanobacteriota	Cyanophyceae	NA	NA	NA
seq_00591	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	NA
seq_00592	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	NA	NA
seq_00593	NA	NA	NA	NA	NA	NA
seq_00594	Bacteria	Pseudomonadota	Betaproteobacteria	Rhodocyclales	NA	NA
seq_00595	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Spirosomaceae	Flectobacillus
seq_00597	Bacteria	NA	NA	NA	NA	NA
seq_00598	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter
seq_00616	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
seq_00617	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA
seq_00619	Bacteria	NA	NA	NA	NA	NA
seq_00622	NA	NA	NA	NA	NA	NA
seq_00624	NA	NA	NA	NA	NA	NA
seq_00631	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	NA	NA
seq_00633	NA	NA	NA	NA	NA	NA
seq_00635	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	NA
seq_00637	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA
seq_00640	Bacteria	Cyanobacteriota	Chloroplast	Chloroplast_incertae_sedis	Chloroplast	NA
seq_00641	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella
seq_00643	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	NA
seq_00644	NA	NA	NA	NA	NA	NA
seq_00649	Bacteria	Cyanobacteriota	NA	NA	NA	NA
