seq	kingdom	phylum	class	order	family	genus	species
seq_13895	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	NA	NA
seq_13896	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	NA
seq_13897	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	NA	NA
seq_13898	NA	NA	NA	NA	NA	NA	NA
seq_13902	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_13903	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Efibulobasidium	NA
seq_13904	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	Serendipita	NA
seq_13906	NA	NA	NA	NA	NA	NA	NA
seq_13910	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
seq_13911	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Plantago	NA
seq_13913	Plantae	Chlorophyta	Chlorophyceae	Volvocales	Chlamydomonadaceae	Chloromonas	NA
seq_13915	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii
seq_13916	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Bensingtonia	NA
seq_13917	NA	NA	NA	NA	NA	NA	NA
seq_13920	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Cephalosporium	NA
seq_13921	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
seq_13925	Fungi	Ascomycota	NA	NA	NA	Cytosporella	NA
seq_13926	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlorosarcinaceae	Chlorosarcinopsis	Chlorosarcinopsis eremi
seq_13929	NA	NA	NA	NA	NA	NA	NA
seq_13932	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	NA	NA
seq_13934	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae	Cristinia	NA
seq_13935	NA	NA	NA	NA	NA	NA	NA
seq_13943	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Sistotremataceae	Trechispora	NA
seq_13947	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_13949	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	NA
seq_13952	NA	NA	NA	NA	NA	NA	NA
seq_13953	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
seq_13954	NA	NA	NA	NA	NA	NA	NA
seq_13955	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum	NA
seq_13958	NA	NA	NA	NA	NA	NA	NA
seq_13959	Plantae	Tracheophyta	Magnoliopsida	Rosales	Urticaceae	Urtica	NA
seq_13960	NA	NA	NA	NA	NA	NA	NA
seq_13961	NA	NA	NA	NA	NA	NA	NA
