Sample	seq_001	seq_002	seq_006	seq_011	seq_014	seq_018	seq_019	seq_023	seq_033	seq_069	seq_366	seq_459	seq_472
343961_083-NGS_UDP0083	0	1	0	0	0	0	0	0	0	0	0	0	0
343961_085-NGS_UDP0085	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_086-NGS_UDP0086	267422	0	0	0	0	0	0	0	0	0	0	0	0
343961_087-NGS_UDP0087	7	0	0	0	0	0	0	0	0	0	0	0	0
343961_088-NGS_UDP0088	2	0	0	0	0	0	0	0	0	0	0	0	0
343961_089-NGS_UDP0089	146911	0	0	0	0	0	0	0	0	0	0	0	0
343961_090-NGS_UDP0090	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_091-NGS_UDP0091	226603	0	0	0	0	0	0	0	0	0	0	0	0
343961_092-NGS_UDP0092	4	284059	0	0	0	0	0	0	0	0	0	0	0
343961_093-NGS_UDP0093	102557	0	0	0	0	0	0	0	0	0	0	0	0
343961_094-NGS_UDP0094	90657	0	0	0	0	0	0	0	0	0	0	0	0
343961_095-NGS_UDP0095	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_097-NGS_UDP0097	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_098-NGS_UDP0098	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_099-NGS_UDP0099	8	0	0	0	0	0	0	0	0	0	0	0	0
343961_100-NGS_UDP0100	222595	0	0	0	0	0	0	0	0	0	0	0	0
343961_101-NGS_UDP0101	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_102-NGS_UDP0102	0	0	0	0	133577	0	75622	0	0	0	0	0	0
343961_103-NGS_UDP0103	226637	0	0	0	0	0	0	0	0	0	0	0	0
343961_104-NGS_UDP0104	196751	0	0	0	0	0	0	0	0	0	0	0	0
343961_105-NGS_UDP0105	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_109-NGS_UDP0109	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_110-NGS_UDP0110	0	0	0	64240	0	84078	0	0	0	0	0	0	0
343961_111-NGS_UDP0111	163327	0	0	0	0	0	0	0	0	0	0	0	0
343961_112-NGS_UDP0112	241875	0	0	0	0	0	0	0	0	0	0	0	0
343961_113-NGS_UDP0113	6075	0	26370	95248	0	0	0	0	0	0	0	0	0
343961_114-NGS_UDP0114	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_115-NGS_UDP0115	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_116-NGS_UDP0116	107856	0	0	0	0	0	0	51519	0	0	0	0	0
343961_117-NGS_UDP0117	64329	0	0	0	0	0	0	0	0	0	0	0	0
343961_121-NGS_UDP0121	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_122-NGS_UDP0122	133076	0	0	0	0	0	0	0	0	6566	0	0	0
343961_123-NGS_UDP0123	10	0	0	0	0	0	0	0	0	0	0	0	0
343961_124-NGS_UDP0124	0	0	191486	0	0	0	0	0	0	0	0	0	0
343961_125-NGS_UDP0125	76512	0	0	0	0	0	0	0	0	0	0	0	0
343961_126-NGS_UDP0126	180065	0	0	0	0	0	0	0	0	0	0	0	0
343961_127-NGS_UDP0127	178700	0	0	0	0	0	0	0	0	0	0	0	0
343961_128-NGS_UDP0128	501	0	0	0	0	0	0	0	0	0	0	0	0
343961_129-NGS_UDP0129	3	0	0	0	0	0	0	0	0	0	0	0	0
343961_134-NGS_UDP0134	0	171757	0	0	0	0	0	0	0	0	0	0	0
343961_135-NGS_UDP0135	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_136-NGS_UDP0136	1	0	0	0	0	0	0	0	0	0	0	0	0
343961_137-NGS_UDP0137	207866	0	0	0	0	0	0	0	0	0	0	0	0
343961_138-NGS_UDP0138	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_139-NGS_UDP0139	142134	44464	0	0	0	0	0	0	0	0	0	0	0
343961_140-NGS_UDP0140	4	0	0	0	0	0	0	0	0	0	0	0	0
343961_141-NGS_UDP0141	9	0	0	0	0	0	0	0	0	0	0	0	0
343961_145-NGS_UDP0145	231368	0	0	0	0	0	0	0	0	0	0	0	0
343961_146-NGS_UDP0146	206238	0	0	0	0	0	0	0	0	0	0	0	0
343961_147-NGS_UDP0147	4	0	0	0	0	0	0	0	0	0	0	0	0
343961_148-NGS_UDP0148	105563	0	0	0	0	0	0	0	0	0	0	0	0
343961_149-NGS_UDP0149	119921	0	0	0	0	0	0	0	0	0	0	0	0
343961_150-NGS_UDP0150	0	214315	0	0	0	0	0	0	0	0	0	0	0
343961_151-NGS_UDP0151	180917	0	0	0	0	0	0	0	0	0	0	0	0
343961_152-NGS_UDP0152	5788	36059	0	0	0	0	0	0	0	0	0	0	2
343961_153-NGS_UDP0153	11	0	0	0	0	0	0	0	0	0	0	0	0
343961_157-NGS_UDP0157	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_158-NGS_UDP0158	2	0	0	0	0	0	0	0	0	0	0	0	0
343961_159-NGS_UDP0159	228200	0	0	0	0	0	0	0	0	0	0	0	0
343961_161-NGS_UDP0161	6	0	0	0	0	0	0	0	0	0	0	0	0
343961_162-NGS_UDP0162	0	0	0	0	0	0	0	0	0	0	0	0	0
343961_163-NGS_UDP0163	570181	0	0	0	0	0	0	0	0	0	0	0	0
343961_164-NGS_UDP0164	20969	0	0	0	0	0	0	0	0	0	0	0	0
343961_165-NGS_UDP0165	19	0	0	0	0	0	0	0	0	0	0	0	0
343961_169-NGS_UDP0169	121877	0	0	0	0	0	0	0	0	0	0	0	0
