SPECIES	AUTHOR	STATUS	kingdom	phylum	class	order	family	genus	maybe_accepted_name	taxon_id	rank	accepted_name	authorship	synonyms	messages
Abortiporus biennis	(Bull.: Fr.) Singer	VU	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Podoscyphaceae	Abortiporus	Abortiporus biennis	2544114	species	Abortiporus biennis	(Bull.) Singer		
Achroomyces effusus	(J. Schroet.) Mig.	DD	Fungi	Basidiomycota	Microbotryomycetes		Colacogloeaceae	Colacogloea	Colacogloea effusa	11528454	species	Colacogloea effusa	(J.Schröt.) Malysheva, Schoutteten & Spirin		
Achroomyces peniophorae	(Bourdot et Galzin) Wojewoda	DD	Fungi	Basidiomycota	Microbotryomycetes		Colacogloeaceae	Colacogloea	Colacogloea peniophorae	2556408	species	Colacogloea peniophorae	(Bourdot & Galzin) Oberw., R.Bauer & Bandoni		
Achroomyces sebaceus	(Berk. et Broome) Wojewoda	DD	Fungi	Basidiomycota	Cystobasidiomycetes	Naohideales	Naohideaceae	Naohidea	Naohidea sebacea	2555989	species	Naohidea sebacea	(Berk. & Broome) Oberw.		
Acrospermum compressum	Tode	LC	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum	Acrospermum compressum	2612450	species	Acrospermum compressum	Tode		
Actinoscypha muelleri	Graddon	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Actinoscypha	Actinoscypha muelleri	3286587	species	Actinoscypha muelleri	Graddon		
Adelphella babingtonii	(Berk. & Broome) Pfister, Matočec & I. Kušan	LC	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Adelphella	Adelphella babingtonii	3494731	species	Adelphella babingtonii	(Berk. & Broome) Pfister, Matočec & I.Kušan		
Agaricus aestivalis	(F.H. Moeller) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus altipes	5243464	species	Agaricus altipes	(F.H.Møller) F.H.Møller		
Agaricus altipes	(F.H. Moeller) Pilat	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus altipes	5243464	species	Agaricus altipes	(F.H.Møller) F.H.Møller		
Agaricus annae	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus annae	5455722	species	Agaricus annae	Pilát		
Agaricus arvensis	Schff.:Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arvensis	5243403	species	Agaricus arvensis	Schaeff.		
Agaricus augustus	Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus augustus	5243429	species	Agaricus augustus	Fr.		
Agaricus benesii	Pilat	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus benesii	8353373	species	Agaricus benesii	(Pilát) Pilát		
Agaricus bernardii	(Quel.) Sacc.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bernardii	5243392	species	Agaricus bernardii	Quél.		
Agaricus bisporus	(J.E. Lange) Imbach	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bisporus	5243447	species	Agaricus bisporus	(J.E.Lange) Imbach		
Agaricus bitorquis	(Quel.) Sacc.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bitorquis	5243374	species	Agaricus bitorquis	(Quél.) Sacc.		
Agaricus bresadolae	Schulzer	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Leucoagaricus	Leucoagaricus americanus	2535839	species	Leucoagaricus americanus	(Peck) Vellinga		
Agaricus bresadolanus	Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bresadolanus	5243347	species	Agaricus bresadolanus	Bohus		
Agaricus campestris	L.: Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus campestris	5243458	species	Agaricus campestris	L.		
Agaricus chionodermus	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus chionodermus	5458123	species	Agaricus chionodermus	Pilát		
Agaricus comtulus	Fr.	NT	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus comtulus	5243354	species	Agaricus comtulus	Fr.		
Agaricus cupreobrunneus	(Jul. Schaeff. et Steer) F.H. Moeller	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus cupreobrunneus	5243433	species	Agaricus cupreobrunneus	(Jul.Schäff. & Steer) Pilát		
Agaricus essettei	Bon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sylvicola	8365581	species	Agaricus sylvicola	(Vittad.) Peck		
Agaricus excellens	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus floccipes	(Moeller) Bohus em. Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus moellerianus	5243441	species	Agaricus moellerianus	Bon		
Agaricus fuscofibrillosus	(F.H. Moeller) Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus fuscofibrillosus	5243473	species	Agaricus fuscofibrillosus	(F.H.Møller) Pilát		
Agaricus impudicus	(Rea) M.Lange	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus impudicus	5243420	species	Agaricus impudicus	(Rea) Pilát		author_mismatch
Agaricus langei	(F.H. Moeller) F.H. Moeller	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus langei	8336113	species	Agaricus langei	(F.H.Møller) F.H.Møller		
Agaricus lanipes	(F.H. Moeller et Jul. Schaeff.) Singer	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus lanipes	5243351	species	Agaricus lanipes	(F.H.Møller & Jul.Schäff.) Hlaváček		
Agaricus leucotrichus	(F.H. Moeller) F.H. Moeller	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus arvensis	5243403	species	Agaricus arvensis	Schaeff.		
Agaricus luteomaculatus	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus luteomaculatus	7755728	species	Agaricus luteomaculatus	F.H.Møller		
Agaricus lutosus	(F.H. Moeller) F.H. Moeller	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus lutosus	5243399	species	Agaricus lutosus	F.H.Møller		
Agaricus macrocarpus	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus macrocarpus	7937063	species	Agaricus macrocarpus	F.H.Møller		
Agaricus macrosporus	(Moell.et Schaeff.) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus maleolens	F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bernardii	5243392	species	Agaricus bernardii	Quél.		
Agaricus maskae	Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus litoralis	5243438	species	Agaricus litoralis	(Wakef. & A.Pearson) Pilát		
Agaricus mediofuscus	(F.H. Moeller) Pilat	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus langei	8336113	species	Agaricus langei	(F.H.Møller) F.H.Møller		
Agaricus niveolutescens	Huijsman	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus comtulus	5243354	species	Agaricus comtulus	Fr.		
Agaricus nivescens	(F.H. Moeller) F.H. Moeller	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus urinascens	3336440	species	Agaricus urinascens	(Jul.Schäff. & F.H.Møller) Singer		
Agaricus pampeanus	Speg.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Naucoria	Naucoria pampeana	12240467	species	Naucoria pampeana	(Speg.) Rick		
Agaricus phaeolepidotus	(F.H. Moeller) F.H. Moeller	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus phaeolepidotus	8240628	species	Agaricus phaeolepidotus	F.H.Møller		
Agaricus pilatianus	Bohus	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus pilatianus	6014790	species	Agaricus pilatianus	(Bohus) Bohus		
Agaricus porphyrizon	P.D. Orton	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus porphyrizon	5243397	species	Agaricus porphyrizon	P.D.Orton		
Agaricus praeclaresquamosus	Freeman	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus moelleri	5243496	species	Agaricus moelleri	Wasser		
Agaricus pseudopratensis	(Bohus) Wasser	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus pseudopratensis	5243346	species	Agaricus pseudopratensis	(Bohus) Wasser		
Agaricus radicatus	Vittad. sensu Romagn.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus bresadolanus	5243347	species	Agaricus bresadolanus	Bohus		
Agaricus rusiophyllus	Lasch	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus rusiophyllus	6014724	species	Agaricus rusiophyllus	Lasch		
Agaricus sagatus	Fr.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sagatus	5455981	species	Agaricus sagatus	Fr.		
Agaricus semotus	Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus semotus	5243428	species	Agaricus semotus	Fr.		
Agaricus squamuliferus	(F.H. Moeller) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus benesii	8353373	species	Agaricus benesii	(Pilát) Pilát		
Agaricus subfloccosus	(J.E. Lange) Pilat	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus subfloccosus	7581021	species	Agaricus subfloccosus	(J.E.Lange) Pilát		
Agaricus subperonatus	(J.E. Lange) Singer	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus subperonatus	5243507	species	Agaricus subperonatus	(J.E.Lange) Singer		
Agaricus sylvaticus	Schaeff.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sylvaticus	8108291	species	Agaricus sylvaticus	Schaeff.		
Agaricus sylvicola	(Vittad.) Sacc.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus sylvicola	8365581	species	Agaricus sylvicola	(Vittad.) Peck		
Agaricus tenuivolvatus	(F.H. Moeller) F.H. Moeller	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus tenuivolvatus	5455873	species	Agaricus tenuivolvatus	F.H.Møller		
Agaricus vaporarius	(Pers.) Cappelli	NT	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus subperonatus	5243507	species	Agaricus subperonatus	(J.E.Lange) Singer		
Agaricus xanthodermus	Genev.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus xanthodermus	5243412	species	Agaricus xanthodermus	Genev.		
Agrocybe arenicola	(Berk.) Singer	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades	9050242	species	Agrocybe pediades	(Fr.) Fayod		
Agrocybe arvalis	(Fr.: Fr.) Singer	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe arvalis	2533170	species	Agrocybe arvalis	(Fr.) Singer		
Agrocybe cylindracea	(DC : Fr.) Maire	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Cyclocybe	Cyclocybe cylindracea	8138987	species	Cyclocybe cylindracea	(DC.) Vizzini & Angelini		
Agrocybe dura	(Bolton) Singer	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe dura	2533128	species	Agrocybe dura	(Bolton) Singer		
Agrocybe elatella	(P. Karst.) Vesterholt	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe elatella	3344350	species	Agrocybe elatella	(P.Karst.) Vesterh.		
Agrocybe erebia	(Fr.: Fr.) Kuehner	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Cyclocybe	Cyclocybe erebia	8191641	species	Cyclocybe erebia	(Fr.) Vizzini & Matheny		
Agrocybe firma	(Peck) Kuehner	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe firma	2533182	species	Agrocybe firma	(Peck) Singer		
Agrocybe gibberosa	(Fr.) Fayod	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox	8997022	species	Agrocybe praecox	(Pers.) Fayod		
Agrocybe pediades	(Fr.) Fayod	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades	9050242	species	Agrocybe pediades	(Fr.) Fayod		
Agrocybe praecox	(Pers.: Fr.) Fayod	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox	8997022	species	Agrocybe praecox	(Pers.) Fayod		
Agrocybe pusiola	(Fr.: Fr.) R. Heim	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pusiola	2533136	species	Agrocybe pusiola	(Fr.) R.Heim		
Agrocybe putaminum	(Maire) Singer	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe putaminum	2533207	species	Agrocybe putaminum	(Maire) Singer		
Agrocybe sphaleromorpha	(Bull.: Fr.) Fayod	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe praecox	8997022	species	Agrocybe praecox	(Pers.) Fayod		
Agrocybe splendida	Clemencon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe splendida	3344375	species	Agrocybe splendida	Clémençon		
Agrocybe subpediades	(Murrill) Watling	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe pediades	9050242	species	Agrocybe pediades	(Fr.) Fayod		
Agrocybe vervacti	(Fr.: Fr.) Singer	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Agrocybe	Agrocybe vervacti	9151391	species	Agrocybe vervacti	(Fr.) Singer		
Albotricha albotestacea	(Desm.) Raitv.	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Lachnaceae	Albotricha	Albotricha albotestacea	2586646	species	Albotricha albotestacea	(Desm.) Raitv.		
Aleuria aurantia	(Pers.) Fuckel	LC	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleuria	Aleuria aurantia	5258678	species	Aleuria aurantia	(Pers.) Fuckel		
Aleuria bicucullata	(Boud.) Gillet	DD	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleuria	Aleuria bicucullata	7879420	species	Aleuria bicucullata	(Boud.) Gillet		
Aleuria hortensis	(Crouan) Boud. sensu. le Gal	DD	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza hortensis	5259359	species	Peziza hortensis	P.Crouan & H.Crouan		
Aleuria luteonitens	(Berk. et Broome) Gillet	DD	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleuria	Aleuria luteonitens	5258669	species	Aleuria luteonitens	(Berk. & Broome) Gillet		
Aleuria rhenana	Fuckel	DD	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Sowerbyella	Sowerbyella rhenana	8258955	species	Sowerbyella rhenana	(Fuckel) J.Moravec		
Aleurina olivaceofusca	(Svrcek et J. Moravec) W.Y. Zhuang et Korf	DD	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Aleurina	Aleurina olivaceofusca	5499871	species	Aleurina olivaceofusca	(Svrček & J.Moravec) W.Y.Zhuang & Korf		
Aleurobotrys botryosus	(Burt) Boidin, Lanq. & Gilles	DD	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurodiscus	Aleurodiscus botryosus	2552978	species	Aleurodiscus botryosus	Burt		
Aleurocystidiellum disciforme	(DC.: Fr.) Telleria	NT	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurodiscus	Aleurodiscus disciformis	2552879	species	Aleurodiscus disciformis	(DC.) Pat.		
Aleurocystidiellum subcruentatum	(Berk. et M.A. Curtis) P.A. Lemke	CR	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurocystidiellum	Aleurocystidiellum subcruentatum	2550628	species	Aleurocystidiellum subcruentatum	(Berk. & M.A.Curtis) P.A.Lemke		
Aleurodiscus amorphus	(Pers.: Fr.) J. Schroet.	VU	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurodiscus	Aleurodiscus amorphus	9200548	species	Aleurodiscus amorphus	(Pers.) J.Schröt.		
Aleurodiscus aurantius	(Pers.: Fr.) J. Schroet.	VU	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurodiscus	Aleurodiscus aurantius	2552845	species	Aleurodiscus aurantius	(Pers.) J.Schröt.		
Aleurodiscus cerussatus	(Bres.) Hoehn. et Litsch.	DD	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Aleurodiscus	Aleurodiscus cerussatus	2552911	species	Aleurodiscus cerussatus	(Bres.) Höhn. & Litsch.		
Allophylaria campanuliformis	(Fuckel) Svrcek	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Allophylaria	Allophylaria campanuliformis	2581835	species	Allophylaria campanuliformis	(Fuckel) Svrček		
Allophylaria filicum	(W. Phillips) Svrcek	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Allophylaria	Allophylaria campanuliformis	2581835	species	Allophylaria campanuliformis	(Fuckel) Svrček		
Allophylaria subhyalina	(Rehm) Baral	DD	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Allophylaria	Allophylaria subhyalina	2582519	species	Allophylaria subhyalina	(Rehm) Baral		
Alpova alpestris	P.-A.Moreau et F. Richard	LC	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Alpova	Alpova alpestris	8429488	species	Alpova alpestris	P.-A.Moreau & F.Rich.		
Alpova microsporus	(Velen.) Trappe	DD	Fungi	Basidiomycota	Agaricomycetes	Boletales	Paxillaceae	Alpova	Alpova microsporus	3353459	species	Alpova microsporus	(Velen.) Trappe		
Alutaceodontia alutacea	(Fr.) Hjortstam & Ryvarden	LC	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Alutaceodontia	Alutaceodontia alutacea	2519039	species	Alutaceodontia alutacea	(Fr.) Hjortstam & Ryvarden		
Amanita alba	Gillet	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita alba	10372680	species	Amanita alba	(De Seynes) Gillet		
Amanita battarrae	Boud.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita battarrae	5240259	species	Amanita battarrae	(Boud.) Bon		author_mismatch
Amanita beckeri	Huijsman	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita beckeri	5451688	species	Amanita beckeri	Huijsman		
Amanita caesarea	(Scop.: Fr.) Pers.	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita caesarea	5240269	species	Amanita caesarea	(Scop.) Pers.		
Amanita ceciliae	(Berk. et Broome) Sacc.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita ceciliae	5240213	species	Amanita ceciliae	(Berk. & Broome) Bas		author_mismatch
Amanita citrina	(Schaeff.) Pers.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita citrina	3328320	species	Amanita citrina	Pers.		
Amanita crocea	(Quel.) Singer	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita crocea	5240282	species	Amanita crocea	(Quél.) Singer		
Amanita eliae	Quel.	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita eliae	5240246	species	Amanita eliae	Quél.		
Amanita excelsa	(Fr.: Fr.) Bertillon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita excelsa	8935018	species	Amanita excelsa	(Fr.) Bertill.		
Amanita franchetii	(Boud.) Fayod	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita franchetii	5240284	species	Amanita franchetii	(Boud.) Fayod		
Amanita friabilis	(P. Karst.) Bas	EN	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita friabilis	5240288	species	Amanita friabilis	(P.Karst.) Bas		
Amanita fulva	Singer	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita fulva	7765582	species	Amanita fulva	Fr.		no_author_match
Amanita fusco-olivacea	Kuehner	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita battarrae	5240259	species	Amanita battarrae	(Boud.) Bon		author_mismatch
Amanita gemmata	(Fr.) Bertillon	NT	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita gemmata	5240292	species	Amanita gemmata	(Fr.) Bertill.		
Amanita lividopallescens	(Gillet) Seyot	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita lividopallescens	9289289	species	Amanita lividopallescens	(Gillet) Seyot		
Amanita magnivolvata	Aalton	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita magnivolvata	5452669	species	Amanita magnivolvata	Aalto		
Amanita mairei	Foley	NT	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita mairei	5240290	species	Amanita mairei	Foley		
Amanita malleata	(Piane) Bon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita lividopallescens	9354572	species	Amanita lividopallescens	(Gillet) Bigeard & H.Guill.		author_mismatch
Amanita muscaria	(L.: Fr.) Pers.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita muscaria	8168319	species	Amanita muscaria	(L.) Lam.		
Amanita nivalis	Grev.	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita nivalis	5240226	species	Amanita nivalis	Grev.		
Amanita ochraceomaculata	Neville, Poumarat et Fraiture	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita brunneofuliginea	5452378	species	Amanita brunneofuliginea	Zhu L.Yang		
Amanita ovoidea	(Bull.: Fr.) Link	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita ovoidea	5240329	species	Amanita ovoidea	(Bull.) Link		
Amanita pachyvolvata	(Bon) Krieglsteiner	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita pachyvolvata	5240301	species	Amanita pachyvolvata	(Bon) Krieglst.		
Amanita pantherina	(DC.: Fr.) Krombh.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita pantherina	8961574	species	Amanita pantherina	(DC.) Krombh.		
Amanita phalloides	(Fr.: Fr.) Link	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita phalloides	5240325	species	Amanita phalloides	(Vaill. ex Fr.) Link		
Amanita porphyria	Alb. et Schwein.: Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita porphyria	5240279	species	Amanita porphyria	Alb. & Schwein.		
Amanita rubescens	Pers.: Fr.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita rubescens	7881571	species	Amanita rubescens	(Pers.) Fr.		
Amanita solitaria	(Bull.:Fr.) Merat	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Aspidella	Aspidella solitaria	7242066	species	Aspidella solitaria	(Bull.) E.-J.Gilbert		
Amanita strobiliformis	(Paulet) Bertillon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita strobiliformis	5240217	species	Amanita strobiliformis	(Paulet ex Vittad.) Bertill.		
Amanita submembranacea	(Bon) Groeger	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita submembranacea	8391120	species	Amanita submembranacea	(Bon) Gröger		
Amanita vaginata	(Bull.: Fr.) Vittad.	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita vaginata	5240306	species	Amanita vaginata	(Bull.) Lam.		
Amanita verna	(Bull.) Pers.	VU	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita verna	5240320	species	Amanita verna	Bull. ex Lam.		no_author_match
Amanita virosa	(Fr.) Bertillon	LC	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita virosa	5240323	species	Amanita virosa	Bertill.		
Amanita vittadinii	(Moretti) Vittad.	DD	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita vittadinii	7647780	species	Amanita vittadinii	(Moretti) Vittad.		
Amaurochaete atra	(Alb. et Schwein.) Rost.	DD							Amaurochaete atra						not_found
Amphinema byssoides	(Pers.: Fr.) J. Erikss.	LC	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Amphinema	Amphinema byssoides	5249374	species	Amphinema byssoides	(Pers.) J.Erikss.		
