Index	Plate	row	col	Sample_names	out_reads	iSeq1
NGS_UDP0091	Plate_1	H	7	BLANK3	0	1
NGS_UDP0092	Plate_1	H	8	9WM2	1518	4489
NGS_UDP0093	Plate_1	H	9	3CD2	1094	3340
NGS_UDP0094	Plate_1	H	10	1DB30_1	0	102
NGS_UDP0095	Plate_1	H	11	7WS30	333	970
NGS_UDP0096	Plate_1	H	12	7WS5	1329	3869
NGS_UDP0097	Plate_2	A	1	BLANK6	0	9
NGS_UDP0098	Plate_2	A	2	5LH30	0	2730
NGS_UDP0099	Plate_2	A	3	5LH5	0	2706
NGS_UDP0100	Plate_2	A	4	9TF2	592	1739
NGS_UDP0101	Plate_2	A	5	1DK30	576	1643
NGS_UDP0102	Plate_2	A	6	8RK30	395	1138
NGS_UDP0103	Plate_2	A	7	7WK5	848	2479
NGS_UDP0104	Plate_2	A	8	NA	0	2
NGS_UDP0105	Plate_2	A	9	NA	0	6
NGS_UDP0106	Plate_2	A	10	NA	0	7
NGS_UDP0107	Plate_2	A	11	NA	0	1
NGS_UDP0108	Plate_2	A	12	NA	0	0
NGS_UDP0109	Plate_2	B	1	8RS5	1006	2984
NGS_UDP0110	Plate_2	B	2	6GH30	934	2841
NGS_UDP0111	Plate_2	B	3	6GH5	1227	4066
NGS_UDP0112	Plate_2	B	4	9CF2	777	2123
NGS_UDP0113	Plate_2	B	5	2TK30	410	1235
NGS_UDP0114	Plate_2	B	6	1DK5	565	1706
NGS_UDP0115	Plate_2	B	7	8RK5	855	2475
NGS_UDP0116	Plate_2	B	8	NA	2	0
NGS_UDP0117	Plate_2	B	9	NA	0	2
NGS_UDP0118	Plate_2	B	10	NA	0	4
NGS_UDP0119	Plate_2	B	11	NA	0	0
NGS_UDP0120	Plate_2	B	12	NA	0	0
NGS_UDP0121	Plate_2	C	1	4HScontrol	7	25
NGS_UDP0122	Plate_2	C	2	7WH30	910	2759
NGS_UDP0123	Plate_2	C	3	7WH5	1303	4366
NGS_UDP0124	Plate_2	C	4	9HF2	1120	3474
NGS_UDP0125	Plate_2	C	5	3CK30	1022	2989
NGS_UDP0126	Plate_2	C	6	2TK5	1106	3516
NGS_UDP0127	Plate_2	C	7	4HKcontrol	21	35
NGS_UDP0128	Plate_2	C	8	NA	2	2
NGS_UDP0129	Plate_2	C	9	NA	0	1
NGS_UDP0130	Plate_2	C	10	NA	0	0
NGS_UDP0131	Plate_2	C	11	NA	0	7
NGS_UDP0132	Plate_2	C	12	NA	0	0
NGS_UDP0133	Plate_2	D	1	7WScontrol	23	57
NGS_UDP0134	Plate_2	D	2	8RH30	1162	3502
NGS_UDP0135	Plate_2	D	3	8RH5	0	2617
NGS_UDP0136	Plate_2	D	4	9LF2	926	2896
NGS_UDP0137	Plate_2	D	5	4HK30	247	846
NGS_UDP0138	Plate_2	D	6	BLANK9	16	51
NGS_UDP0139	Plate_2	D	7	7WKcontrol	2	10
NGS_UDP0140	Plate_2	D	8	NA	0	0
NGS_UDP0141	Plate_2	D	9	NA	0	9
NGS_UDP0142	Plate_2	D	10	NA	0	2
NGS_UDP0143	Plate_2	D	11	NA	0	1
NGS_UDP0144	Plate_2	D	12	NA	0	0
NGS_UDP0145	Plate_2	E	1	1DH30	745	2342
NGS_UDP0146	Plate_2	E	2	1DH5	899	2889
NGS_UDP0147	Plate_2	E	3	4HHcontrol	86	244
NGS_UDP0148	Plate_2	E	4	9GF2	151	452
NGS_UDP0149	Plate_2	E	5	BLANK8	58	198
NGS_UDP0150	Plate_2	E	6	3CK5	1343	4064
NGS_UDP0151	Plate_2	E	7	PCR30_neg1	2	10
NGS_UDP0152	Plate_2	E	8	NA	2	0
NGS_UDP0153	Plate_2	E	9	NA	0	0
NGS_UDP0154	Plate_2	E	10	NA	0	0
NGS_UDP0155	Plate_2	E	11	NA	0	0
NGS_UDP0156	Plate_2	E	12	NA	0	1
NGS_UDP0157	Plate_2	F	1	2TH30	0	1866
NGS_UDP0158	Plate_2	F	2	2TH5	1110	3410
NGS_UDP0159	Plate_2	F	3	7WHcontrol	24	52
NGS_UDP0160	Plate_2	F	4	9WF2	205	534
NGS_UDP0161	Plate_2	F	5	5LK30	146	445
NGS_UDP0162	Plate_2	F	6	4HK5	1170	3632
NGS_UDP0163	Plate_2	F	7	PCR25_neg1	0	2
NGS_UDP0164	Plate_2	F	8	NA	2	3
NGS_UDP0165	Plate_2	F	9	NA	0	1
NGS_UDP0166	Plate_2	F	10	NA	0	0
NGS_UDP0167	Plate_2	F	11	NA	0	3
NGS_UDP0168	Plate_2	F	12	NA	0	0
NGS_UDP0169	Plate_2	G	1	3CH30	546	1604
NGS_UDP0170	Plate_2	G	2	3CH5	1462	4513
NGS_UDP0171	Plate_2	G	3	BLANK7	10	32
NGS_UDP0172	Plate_2	G	4	9RF2	805	2411
NGS_UDP0173	Plate_2	G	5	6GK30	639	1903
NGS_UDP0174	Plate_2	G	6	5LK5	1506	4523
NGS_UDP0175	Plate_2	G	7	PCR37_neg1	6	26
NGS_UDP0176	Plate_2	G	8	NA	6	6
NGS_UDP0177	Plate_2	G	9	NA	0	2
NGS_UDP0178	Plate_2	G	10	NA	0	1
NGS_UDP0179	Plate_2	G	11	NA	1	0
NGS_UDP0180	Plate_2	G	12	NA	0	1
NGS_UDP0181	Plate_2	H	1	4HH30	751	2353
NGS_UDP0182	Plate_2	H	2	4HH5	603	1946
NGS_UDP0183	Plate_2	H	3	9DF2	823	2715
NGS_UDP0184	Plate_2	H	4	9_F2control	8	11
NGS_UDP0185	Plate_2	H	5	7WK30	1228	3653
NGS_UDP0186	Plate_2	H	6	6GK5	1201	3418
NGS_UDP0187	Plate_2	H	7	NA	2	1
NGS_UDP0188	Plate_2	H	8	NA	2	0
NGS_UDP0189	Plate_2	H	9	NA	0	0
NGS_UDP0190	Plate_2	H	10	NA	0	1
NGS_UDP0191	Plate_2	H	11	NA	1	4
NGS_UDP0192	Plate_2	H	12	NA	0	0
